ID,Plant,snail,SampleDay,RametNumber,PVI
A02,My,LS,0,0,34.24
A07,My,HS,0,0,33.61
A11,My,HS,0,0,14.36
A14,My,LS,0,0,48.84
B04,My,HS,0,0,29.93
B11,My,LS,0,8,26.49
A01,PB,LS,0,0,11.7
A04,PB,HS,0,0,7.88
A09,PB,LS,0,0,12.28
A12,PB,HS,0,0,7.46
B07,PB,HS,0,0,8.58
B10,PB,LS,0,0,7.26
A05,PC,LS,0,0,1.26
A10,PC,HS,0,0,2.13
B03,PC,HS,0,0,1.9
B05,PC,LS,0,0,1.76
B08,PC,LS,0,0,2.29
B13,PC,HS,0,0,2.37
A06,PW,LS,0,5,7.18
A13,PW,LS,0,4,9.02
B01,PW,LS,0,4,10.18
B09,PW,HS,0,5,12.21
B12,PW,HS,0,4,11.79
B15,PW,HS,0,4,18.86
A02,My,LS,1,8,42.07
A07,My,HS,1,2,31.67
A11,My,HS,1,0,34.31
A14,My,LS,1,0,40.35
B04,My,HS,1,0,35.54
B11,My,LS,1,11,42.99
A01,PB,LS,1,6,21.09
A04,PB,HS,1,0,9.16
A09,PB,LS,1,9,26.78
A12,PB,HS,1,2,9.29
B07,PB,HS,1,0,18.68
B10,PB,LS,1,0,18.41
A05,PC,LS,1,0,3.37
A10,PC,HS,1,0,3.28
B03,PC,HS,1,0,0.59
B05,PC,LS,1,0,1
B08,PC,LS,1,0,3.02
B13,PC,HS,1,0,2.84
A06,PW,LS,1,16,11.4
A13,PW,LS,1,12,9.02
B01,PW,LS,1,19,10.7
B09,PW,HS,1,13,9.67
B12,PW,HS,1,14,8.69
B15,PW,HS,1,17,17.08
A02,My,LS,2,12,42.07
A07,My,HS,2,10,31.67
A11,My,HS,2,4,34.31
A14,My,LS,2,0,40.35
B04,My,HS,2,0,35.54
B11,My,LS,2,14,42.99
A01,PB,LS,2,60,21.09
A04,PB,HS,2,96,9.16
A09,PB,LS,2,84,26.78
A12,PB,HS,2,98,9.29
B07,PB,HS,2,0,18.68
B10,PB,LS,2,0,18.41
A05,PC,LS,2,0,3.37
A10,PC,HS,2,9,3.28
B03,PC,HS,2,0,0.59
B05,PC,LS,2,0,1
B08,PC,LS,2,0,3.02
B13,PC,HS,2,0,2.84
A06,PW,LS,2,31,11.4
A13,PW,LS,2,21,9.02
B01,PW,LS,2,26,10.7
B09,PW,HS,2,21,9.67
B12,PW,HS,2,25,8.69
B15,PW,HS,2,25,17.08
A02,My,LS,3,24,23.34
A07,My,HS,3,24,18.67
A11,My,HS,3,16,25.16
A14,My,LS,3,16,28.34
B04,My,HS,3,10,13.88
B11,My,LS,3,13,26.28
A01,PB,LS,3,60,7.53
A04,PB,HS,3,87,9
A09,PB,LS,3,50,9.52
A12,PB,HS,3,93,7.47
B07,PB,HS,3,0,7.67
B10,PB,LS,3,112,15.62
A05,PC,LS,3,0,7.48
A10,PC,HS,3,16,5.98
